task_id,model,complexity,passed,error_type,error_message,duration_seconds,unsafe_patterns,generated_code
easy_01_sum_list,meta-llama/Llama-3.1-8B-Instruct,easy,True,none,,0.0421,,"def sum_list(nums: list[int]) -> int:
    return sum(nums)"
easy_02_reverse_string,meta-llama/Llama-3.1-8B-Instruct,easy,True,none,,0.0466,,"def reverse_string(s: str) -> str:
    return s[::-1]"
easy_03_is_palindrome,meta-llama/Llama-3.1-8B-Instruct,easy,True,none,,0.0476,,"def is_palindrome(s: str) -> bool:
    return s == s[::-1]"
easy_04_fizzbuzz,meta-llama/Llama-3.1-8B-Instruct,easy,True,none,,0.0451,,"def fizzbuzz(n: int) -> list[str]:
    return [fizzbuzz_helper(i) for i in range(1, n+1)]

def fizzbuzz_helper(i: int) -> str:
    if i % 15 == 0:
        return 'FizzBuzz'
    elif i % 3 == 0:
        return 'Fizz'
    elif i % 5 == 0:
        return 'Buzz'
    else:
        return str(i)"
easy_05_max_of_list,meta-llama/Llama-3.1-8B-Instruct,easy,True,none,,0.0545,,"def find_max(nums: list[int]) -> int:
    if not nums:
        raise ValueError(""List is empty"")
    max_num = nums[0]
    for num in nums[1:]:
        if num > max_num:
            max_num = num
    return max_num"
easy_06_count_vowels,meta-llama/Llama-3.1-8B-Instruct,easy,True,none,,0.0289,,"def count_vowels(s: str) -> int:
    return sum(1 for c in s.casefold() if c in 'aeiou')"
medium_01_is_prime,meta-llama/Llama-3.1-8B-Instruct,medium,True,none,,0.0451,,"def is_prime(n: int) -> bool:
    if n <= 1:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True"
medium_02_binary_search,meta-llama/Llama-3.1-8B-Instruct,medium,True,none,,0.037,,"def binary_search(sorted_nums: list[int], target: int) -> int:
    left, right = 0, len(sorted_nums) - 1
    while left <= right:
        mid = (left + right) // 2
        if sorted_nums[mid] == target:
            return mid
        elif sorted_nums[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1"
medium_03_fibonacci_memo,meta-llama/Llama-3.1-8B-Instruct,medium,True,none,,0.0509,,"def fibonacci(n: int) -> int:
    if n <= 1:
        return n
    memo = [0, 1]
    for i in range(2, n + 1):
        memo.append(memo[i-1] + memo[i-2])
    return memo[n]"
medium_04_anagram_check,meta-llama/Llama-3.1-8B-Instruct,medium,True,none,,0.0274,,"def is_anagram(a: str, b: str) -> bool:
    a = a.replace("" "", """").lower()
    b = b.replace("" "", """").lower()
    return sorted(a) == sorted(b)"
medium_05_merge_sorted_lists,meta-llama/Llama-3.1-8B-Instruct,medium,True,none,,0.044,,"def merge_sorted(a: list[int], b: list[int]) -> list[int]:
    result = []
    i = j = 0
    while i < len(a) and j < len(b):
        if a[i] < b[j]:
            result.append(a[i])
            i += 1
        else:
            result.append(b[j])
            j += 1
    result.extend(a[i:])
    result.extend(b[j:])
    return result"
medium_06_group_anagrams,meta-llama/Llama-3.1-8B-Instruct,medium,True,none,,0.1668,,"def group_anagrams(words):
    anagrams = {}
    for word in words:
        sorted_word = """".join(sorted(word))
        if sorted_word in anagrams:
            anagrams[sorted_word].append(word)
        else:
            anagrams[sorted_word] = [word]
    return sorted([v for v in anagrams.values()], key=lambda x: x[0])"
hard_01_quicksort,meta-llama/Llama-3.1-8B-Instruct,hard,True,none,,0.0284,,"def quicksort(nums: list[int]) -> list[int]:
    if len(nums) <= 1:
        return nums
    pivot = nums[len(nums) // 2]
    left = [x for x in nums if x < pivot]
    middle = [x for x in nums if x == pivot]
    right = [x for x in nums if x > pivot]
    return quicksort(left) + middle + quicksort(right)"
hard_02_longest_increasing_subsequence,meta-llama/Llama-3.1-8B-Instruct,hard,True,none,,0.031,,"def longest_increasing_subsequence(nums: list[int]) -> int:
    if not nums:
        return 0
    dp = [1] * len(nums)
    for i in range(1, len(nums)):
        for j in range(i):
            if nums[i] > nums[j] and dp[i] < dp[j] + 1:
                dp[i] = dp[j] + 1
    return max(dp)"
hard_03_balanced_brackets,meta-llama/Llama-3.1-8B-Instruct,hard,True,none,,0.0989,,"def is_balanced(s: str) -> bool:
    stack = []
    bracket_map = {')': '(', ']': '[', '}': '{'}
    for c in s:
        if c in bracket_map.values():
            stack.append(c)
        elif c in bracket_map.keys():
            if not stack or bracket_map[c] != stack.pop():
                return False
    return not stack"
hard_04_dijkstra_shortest_path,meta-llama/Llama-3.1-8B-Instruct,hard,False,UnsafeCode,import 'sys',0.0,import 'sys',"import sys
import heapq

def shortest_path(graph, start, end):
    distances = {node: sys.maxsize for node in graph}
    distances[start] = 0
    pq = [(0, start)]

    while pq:
        current_distance, current_node = heapq.heappop(pq)

        if current_node == end:
            return current_distance

        for neighbor, weight in graph[current_node].items():
            distance = current_distance + weight

            if distance < distances[neighbor]:
                distances[neighbor] = distance
                heapq.heappush(pq, (distance, neighbor))

    return -1"
